,bt,km,transmission,ownerNo,oem,modelYear,Insurance Validity,Fuel Type,RTO,Features,Mileage,Engine,Max Power,Torque,Seats,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
2160,0,22305,1,1,11,2020,0,3,25,9,21.79,998,67.05,90.0,5.0,2,3,4,0,3655.0,1620.0,1675.0,2435.0,5,3,0,1,1,5,1
2161,0,33573,1,1,15,2019,0,3,25,9,23.01,999,67.0,91.0,5.0,11,3,4,0,3679.0,1579.0,1478.0,2422.0,5,3,0,1,1,5,1
2162,0,33615,1,1,2,2019,2,3,25,9,22.7,799,53.64,72.0,5.0,11,3,4,0,3429.0,1560.0,1541.0,2348.0,5,3,0,1,1,5,1
2163,0,30000,0,2,6,2018,2,3,25,9,18.2,1199,88.7,110.0,5.0,8,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,1
2164,4,34935,1,1,17,2020,0,3,25,9,20.3,1199,83.81,114.0,5.0,12,3,4,0,3992.0,1677.0,1537.0,2450.0,5,3,0,1,1,4,1
2165,0,66511,0,2,11,2018,0,3,25,9,23.1,998,67.04,90.0,5.0,7,3,4,0,3695.0,1600.0,1560.0,2425.0,5,3,0,1,1,5,1
2167,4,68979,1,1,11,2017,0,3,25,9,21.21,1197,81.8,113.0,5.0,1,4,4,0,3995.0,1735.0,1515.0,2450.0,5,3,0,1,1,4,1
2169,0,45161,0,2,11,2019,0,3,25,9,20.51,998,67.0,90.0,5.0,7,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,1
2170,3,42917,1,1,4,2018,0,1,25,9,23.0,1498,98.96,205.0,5.0,1,4,4,1,3998.0,1765.0,1647.0,2519.0,5,3,0,1,1,4,1
2171,0,20000,1,1,11,2019,2,3,29,9,21.01,1197,81.8,113.0,5.0,8,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,1,5,1
2172,0,32000,0,1,11,2018,0,3,25,9,19.56,1197,81.8,113.0,5.0,4,4,4,0,3995.0,1745.0,1510.0,2520.0,0,1,0,1,1,5,1
2173,0,40000,1,1,7,2019,2,1,25,9,22.54,1396,88.76,224.0,5.0,8,4,4,1,3985.0,1734.0,1505.0,2570.0,6,3,0,1,1,5,1
2176,4,100000,1,2,17,2018,2,1,29,8,22.95,1248,74.0,190.0,5.0,8,4,4,1,3995.0,1706.0,1570.0,2470.0,5,3,0,1,1,4,1
2179,0,53764,1,1,11,2015,0,1,25,9,25.2,1248,74.0,190.0,5.0,4,4,4,1,3840.0,1735.0,1530.0,2450.0,5,3,0,1,1,5,1
2180,0,61455,1,1,7,2015,2,3,25,9,18.9,1197,81.86,113.75,5.0,11,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,1
2182,0,61159,0,2,6,2017,0,3,25,9,19.0,1199,88.7,110.0,5.0,10,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,1
2184,4,95296,1,1,6,2015,0,3,25,9,18.0,1198,86.7,109.0,5.0,2,4,4,0,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,1
2185,3,106506,1,1,7,2018,0,3,25,9,15.8,1591,121.3,151.0,5.0,0,4,4,0,4270.0,1780.0,1665.0,2590.0,6,3,0,1,1,5,1
